Bacteroides vulgatus
Bacteroides vulgatus
Bacteroides uniformis
Bacteroides uniformis
Faecalibacterium prausnitzii
Faecalibacterium prausnitzii
Prevotella copri
Prevotella copri
Akkermansia muciniphila
Akkermansia muciniphila
Bacteroides caccae
Faecalibacterium prausnitzii
Faecalibacterium prausnitzii
Bacteroides caccae
Bacteroides massiliensis
Alistipes putredinis
Parabacteroides merdae
Parabacteroides distasonis
Parabacteroides merdae
Parabacteroides distasonis
Alistipes putredinis
Ruminococcus bromii
Bacteroides massiliensis
Ruminococcus bromii
Dialister invisus
Fusicatenibacter saccharivorans
Akkermansia muciniphila
Fusicatenibacter saccharivorans
Dialister invisus
Roseburia inulinivorans
Phascolarctobacterium faecium
Blautia faecis
Blautia faecis
Anaerostipes hadrus
Roseburia inulinivorans
Blautia massiliensis
Blautia massiliensis
Lachnospira pectinoschiza
Lachnospira pectinoschiza
Phascolarctobacterium faecium
Ruminococcus bromii
Anaerostipes hadrus
Bacteroides plebeius
Dorea longicatena
Erysipelotrichaceae_UCG-003 bacterium
Lachnospiraceae_NK4A136_group bacterium
Erysipelotrichaceae_UCG-003 bacterium
Ruminococcus bicirculans
Ruminococcus bicirculans
Lachnospiraceae_NK4A136_group bacterium
Blautia obeum
Dorea longicatena
Bacteroides eggerthii
Blautia obeum
Roseburia intestinalis
Roseburia intestinalis
Mitsuokella jalaludinii
Parasutterella excrementihominis
Faecalibacterium prausnitzii
Bacteroides coprocola
Coprococcus eutactus
Faecalibacterium prausnitzii
Ruminococcus bromii
Alistipes shahii
Akkermansia muciniphila
Parasutterella excrementihominis
Lachnoclostridium edouardi
Bacteroides coprocola
Bacteroides eggerthii
Coprococcus eutactus
Alistipes finegoldii
Sutterella wadsworthensis
Intestinibacter bartlettii
Faecalibacterium prausnitzii
Bilophila wadsworthia
Coprococcus comes
Bacteroides plebeius
Alistipes obesi
Alistipes finegoldii
Bacteroides uniformis
Collinsella aerofaciens
Lachnoclostridium edouardi
Escherichia/Shigella coli
Bacteroides vulgatus
Alistipes shahii
Coprococcus eutactus
Lachnospira pectinoschiza
Parabacteroides distasonis
Bacteroides ovatus
Coprococcus comes
Bacteroides finegoldii
Bacteroides intestinalis
Roseburia hominis
Roseburia hominis
Prevotella corporis
Coprococcus eutactus
Bacteroides salyersiae
Tyzzerella nexilis
Bacteroides ovatus
Prevotella corporis
Faecalibacterium prausnitzii
Bacteroides finegoldii
Odoribacter splanchnicus
Bacteroides eggerthii
Bacteroides vulgatus
Sutterella wadsworthensis
Collinsella aerofaciens
Paraprevotella xylaniphila
Dorea formicigenerans
Anaerostipes hadrus
Tyzzerella nexilis
Bacteroides stercoris
Lachnospira pectinoschiza
Dorea formicigenerans
Anaerostipes hadrus
Bacteroides salyersiae
Phascolarctobacterium succinatutens
Alistipes obesi
Bilophila wadsworthia
Parabacteroides distasonis
Barnesiella intestinihominis
Bacteroides ilei
Coprococcus catus
Flavonifractor plautii
Catenibacterium mitsuokai
Alistipes inops
Bacteroides intestinalis
Flavonifractor plautii
Escherichia/Shigella coli
Bacteroides clarus
Flavobacterium lindanitolerans
Catenibacterium mitsuokai
Coprococcus catus
Intestinibacter bartlettii
Bacteroides uniformis
Butyricicoccus faecihominis
Bacteroides coprocola
Acidaminococcus intestini
Prevotella buccalis
Stenotrophomonas maltophilia
Bacteroides clarus
Ruminococcus callidus
Barnesiella intestinihominis
Turicibacter sanguinis
Acinetobacter lwoffii
Butyricicoccus faecihominis
Ruminococcus champanellensis
Alistipes inops
Acidaminococcus intestini
Parabacteroides goldsteinii
Prevotella buccalis
Desulfovibrio piger
Parabacteroides johnsonii
Alistipes ihumii
Phascolarctobacterium succinatutens
Bacteroides stercoris
Bacteroides eggerthii
Eisenbergiella massiliensis
Megamonas funiformis
Parabacteroides johnsonii
Megamonas funiformis
Ruminococcus callidus
Bacteroides salyersiae
Dialister propionicifaciens
Ruminococcus champanellensis
Bacteroides intestinalis
Terrisporobacter mayombei
Bacteroides nordii
Prevotella timonensis
Parabacteroides goldsteinii
Prevotella disiens
Holdemanella biformis
Bacteroides nordii
Blautia stercoris
Bacteroides salyersiae
Bacteroides coprophilus
Bacteroides intestinalis
Bacteroides coprophilus
Alistipes shahii
Monoglobus pectinilyticus
Monoglobus pectinilyticus
Alistipes ihumii
Escherichia/Shigella coli
Barnesiella intestinihominis
Turicibacter sanguinis
Coprobacillus cateniformis
Prevotella disiens
Barnesiella intestinihominis
Parabacteroides gordonii
Turicibacter sanguinis
Paraprevotella clara
Providencia stuartii
Butyricimonas paravirosa
Intestinimonas massiliensis
Escherichia/Shigella coli
Rothia mucilaginosa
Terrisporobacter mayombei
Prevotella timonensis
Blautia stercoris
Blautia caecimuris
Paraprevotella xylaniphila
Dialister propionicifaciens
Negativibacillus massiliensis
Clostridium_sensu_stricto_1 tertium
